"","Project","Version","Class","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","nr","ndc","nml","ndpv","max.cc.","avg.cc.","isBuggy"
"11491","lucene","2.2","org.apache.lucene.search.SortComparator",3,1,0,7,7,3,4,5,2,2,21,0,0,0,0.6666667,0,0,6,"1","1","19","0",1,0.6666667,FALSE
"11492","lucene","2.2","org.apache.lucene.analysis.LowerCaseFilter",2,3,0,4,5,1,1,3,2,2,21,0,0,0.8,0.75,0,0,9.5,"1","1","11","0",1,0.5,TRUE
"11493","lucene","2.2","org.apache.lucene.index.IndexModifier",26,1,0,10,55,0,0,10,22,0.344,705,1,4,0,0.18461539,0,0,25.73077,"6","4","180","2",2,1.1538461,TRUE
"11494","lucene","2.2","org.apache.lucene.search.NonMatchingScorer",6,2,0,4,10,15,1,3,6,2,31,0,0,0.61538464,0.6666667,1,3,4.1666665,"1","1","11","0",1,0.8333333,FALSE
"11495","lucene","2.2","org.apache.lucene.search.ScoreDocComparator$2",4,1,0,2,6,6,1,2,3,2,31,0,0,0,0.75,0,0,6.75,NA,"0",NA,"0",3,1.25,FALSE
"11496","lucene","2.2","org.apache.lucene.index.MultiLevelSkipListReader",10,1,1,4,21,0,1,3,1,0.61904764,477,1,1,0,0.5,0,0,45.3,"1","1","271","0",2,1,TRUE
"11497","lucene","2.2","org.apache.lucene.search.FieldCacheImpl$8",2,2,0,8,17,1,1,8,0,1,78,1,1,0.6666667,0.625,1,1,37.5,NA,"0",NA,"0",1,0.5,FALSE
"11498","lucene","2.2","org.apache.lucene.search.DisjunctionMaxQuery$DisjunctionMaxWeight",7,1,0,10,35,0,1,10,7,0.3888889,259,1,2,0,0.30952382,0,0,35.57143,NA,"0",NA,"0",2,1,FALSE
"11499","lucene","2.2","org.apache.lucene.search.PrefixFilter$1",2,2,0,3,4,0,1,3,1,0.5,19,1,1,0.5,0.6,1,1,7.5,NA,"0",NA,"0",1,0.5,FALSE
"11500","lucene","2.2","org.apache.lucene.document.NumberTools",4,1,0,0,18,0,0,0,3,1.1666666,130,0.5,0,0,0.33333334,0,0,30,"1","1","11","0",6,2.5,FALSE
"11501","lucene","2.2","org.apache.lucene.search.spans.SpanFirstQuery",13,3,0,6,30,0,1,6,11,0.41666666,176,1,1,0.5714286,0.1923077,2,2,12.384615,"1","1","11","0",6,1.3076923,FALSE
"11502","lucene","2.2","org.apache.lucene.analysis.standard.CharStream",12,1,0,3,12,66,3,0,12,2,12,0,0,0,0.5833333,0,0,0,"1","1","14","1",1,1,FALSE
"11503","lucene","2.2","org.apache.lucene.store.MMapDirectory",2,3,0,5,10,1,0,5,2,1,48,1,0,0.97727275,0.75,1,2,22.5,"1","1","11","0",1,0.5,TRUE
"11504","lucene","2.2","org.apache.lucene.index.SegmentTermPositions",15,2,0,6,27,7,1,6,7,0.6122449,287,1,1,0.44,0.2,1,3,17.666666,"6","3","190","4",3,1.0666667,TRUE
"11505","lucene","2.2","org.apache.lucene.index.KeepOnlyLastCommitDeletionPolicy",3,1,0,4,7,3,2,2,3,2,28,0,0,0,0.8333333,0,0,8.333333,"1","1","50","0",2,1,TRUE
"11506","lucene","2.2","org.apache.lucene.index.StaleReaderException",1,4,0,2,2,0,2,0,1,2,5,0,0,1,1,0,0,4,"1","1","36","0",0,0,FALSE
"11507","lucene","2.2","org.apache.lucene.store.IndexInput",15,1,5,31,18,103,31,0,15,0.9285714,256,1,0,0,0.28,0,0,16,"2","2","37","0",1,0.93333334,TRUE
"11508","lucene","2.2","org.apache.lucene.search.PhraseQuery",15,2,0,9,43,0,3,7,11,0.58928573,303,1,0,0.46153846,0.19166666,2,3,18.933332,"1","1","11","0",6,1.8,TRUE
"11509","lucene","2.2","org.apache.lucene.index.MultiReader",28,2,0,17,61,0,1,16,17,0.6825397,664,1,1,0.6976744,0.15773809,1,9,22.464285,"13","5","202","9",6,1.3928572,TRUE
"11510","lucene","2.2","org.apache.lucene.search.SloppyPhraseScorer",4,3,0,9,19,0,3,7,0,0.5555556,326,1,1,0.8695652,0.34375,1,1,79.75,"2","2","170","1",4,1.5,TRUE
"11511","lucene","2.2","org.apache.lucene.search.BooleanScorer2",21,2,0,16,58,104,5,15,10,0.65625,511,1,3,0.32,0.2375,1,3,22.952381,"6","4","105","4",6,1.6666666,TRUE
"11512","lucene","2.2","org.apache.lucene.index.SegmentTermDocs",12,1,1,13,33,12,2,12,8,0.6909091,377,0.8666667,4,0,0.21875,0,0,29.166666,"3","2","171","2",1,0.9166667,FALSE
"11513","lucene","2.2","org.apache.lucene.search.Scorer",9,1,17,38,11,34,35,3,7,0.875,47,1,1,0,0.41666666,0,0,4.111111,"1","1","11","0",1,0.8888889,TRUE
"11514","lucene","2.2","org.apache.lucene.search.ConjunctionScorer",10,2,1,6,21,0,3,4,6,0.41269842,340,1,1,0.47058824,0.3,1,3,32.3,"2","1","98","1",2,1.1,TRUE
"11515","lucene","2.2","org.apache.lucene.queryParser.CharStream",12,1,0,3,12,66,3,0,12,2,12,0,0,0,0.5833333,0,0,0,"1","1","14","0",1,1,TRUE
"11516","lucene","2.2","org.apache.lucene.search.BooleanScorer2$SingleMatchScorer",6,2,0,5,14,0,1,5,5,0.53333336,62,1,2,0.61538464,0.41666666,1,3,8.833333,NA,"0",NA,"0",1,0.8333333,FALSE
"11517","lucene","2.2","org.apache.lucene.search.Hits",11,1,0,13,28,19,3,12,5,0.64,338,1,6,0,0.32467532,0,0,28.818182,"3","3","40","1",4,1.1818181,TRUE
"11518","lucene","2.2","org.apache.lucene.search.MatchAllDocsQuery",6,2,0,7,14,15,3,5,5,2,57,0,0,0.7058824,0.33333334,2,3,8.5,"3","2","22","1",3,1.1666666,TRUE
"11519","lucene","2.2","org.apache.lucene.search.BooleanScorer$BucketTable",3,1,0,4,5,3,2,3,3,1.25,25,0,2,0,0.6666667,0,0,6,NA,"0",NA,"0",1,0.6666667,FALSE
"11520","lucene","2.2","org.apache.lucene.index.CompoundFileWriter$1",0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,NA,"0",NA,"0",0,0,FALSE
