"","Project","Version","Class","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","nr","ndc","nml","ndpv","max.cc.","avg.cc.","isBuggy"
"11872","lucene","2.4","org.apache.lucene.search.ExtendedFieldCacheImpl$2",2,1,0,2,4,1,1,1,1,2,8,0,0,0,0.75,0,0,3,NA,"0",NA,"0",1,0.5,FALSE
"11873","lucene","2.4","org.apache.lucene.index.ParallelReader$ParallelTermEnum",6,2,0,4,23,0,1,4,6,0.55,165,1,2,0.5555556,0.5,1,2,25.833334,NA,"0",NA,"0",2,1,FALSE
"11874","lucene","2.4","org.apache.lucene.util.ArrayUtil",14,1,0,9,16,91,9,0,14,2,228,0,0,0,0.26190478,0,0,15.285714,"2","1","132","0",2,1.6428572,TRUE
"11875","lucene","2.4","org.apache.lucene.search.ConstantScoreQuery$ConstantWeight",7,1,0,12,24,0,1,12,7,0.5833333,148,1,2,0,0.30952382,0,0,19.571428,NA,"0",NA,"0",1,0.85714287,FALSE
"11876","lucene","2.4","org.apache.lucene.util.CloseableThreadLocal",7,1,0,4,27,7,4,0,4,0.7083333,135,0.5,0,0,0.3888889,0,0,17.714285,"2","1","107","0",5,1.4285715,TRUE
"11877","lucene","2.4","org.apache.lucene.search.FieldCache$IntParser",1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,NA,"0",NA,"0",1,1,FALSE
"11878","lucene","2.4","org.apache.lucene.store.LockObtainFailedException",1,4,0,8,2,0,8,0,1,2,5,0,0,1,1,0,0,4,"0","0",NA,"0",0,0,FALSE
"11879","lucene","2.4","org.apache.lucene.search.ParallelMultiSearcher",6,3,0,16,33,3,1,16,6,0.4,297,1,1,0.88372093,0.35185185,2,3,48.166668,"1","1","4","1",1,0.8333333,TRUE
"11880","lucene","2.4","org.apache.lucene.index.TermEnum",6,1,5,38,8,15,37,1,6,2,21,0,0,0,0.5833333,0,0,2.5,"0","0",NA,"0",1,0.8333333,TRUE
"11881","lucene","2.4","org.apache.lucene.index.NormsWriter",9,2,0,13,46,32,2,12,3,0.90625,409,0.5,1,0.41666666,0.25,0,0,44,"1","1","175","0",1,0.7777778,FALSE
"11882","lucene","2.4","org.apache.lucene.index.DocumentsWriter$1",0,1,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,NA,"0",NA,"0",0,0,FALSE
"11883","lucene","2.4","org.apache.lucene.search.function.ValueSourceQuery$ValueSourceWeight",7,1,0,10,12,3,2,10,7,0.6666667,67,0.25,2,0,0.30952382,0,0,8,NA,"0",NA,"0",1,0.85714287,FALSE
"11884","lucene","2.4","org.apache.lucene.search.SpanFilterResult",5,1,0,4,6,0,3,1,5,0.6666667,35,1,1,0,0.45,0,0,5.4,"2","2","140","0",1,0.6,FALSE
"11885","lucene","2.4","org.apache.lucene.search.spans.NearSpansOrdered$1",2,1,0,2,4,1,1,2,1,1,17,1,1,0,0.6666667,0,0,7,NA,"0",NA,"0",1,0.5,FALSE
"11886","lucene","2.4","org.apache.lucene.index.StoredFieldsWriter$PerDoc",5,2,0,5,11,0,3,3,2,0.5,42,0.33333334,2,0.5,0.6,0,0,6.8,NA,"0",NA,"0",1,0.8,FALSE
"11887","lucene","2.4","org.apache.lucene.index.TermDocs",8,1,0,30,8,28,28,2,8,2,8,0,0,0,0.3,0,0,0,"0","0",NA,"0",1,1,FALSE
"11888","lucene","2.4","org.apache.lucene.search.PrefixFilter",5,2,0,7,17,0,2,7,5,0,71,1,1,0.33333334,0.53333336,1,1,13,"2","2","17","1",1,0.8,FALSE
"11889","lucene","2.4","org.apache.lucene.search.ExtendedFieldCacheImpl$3",2,2,0,8,17,1,1,8,0,1,77,1,1,0.6666667,0.625,1,1,37,NA,"0",NA,"0",1,0.5,FALSE
"11890","lucene","2.4","org.apache.lucene.index.InvertedDocConsumerPerThread",5,1,1,9,6,10,6,4,0,2,8,0,0,0,0.46666667,0,0,0.6,"1","1","27","0",1,0.8,FALSE
"11891","lucene","2.4","org.apache.lucene.index.TermVectorsTermsWriterPerField",11,2,0,19,40,17,2,19,2,0.775,599,0,6,0.4,0.22222222,0,0,52.363636,"2","1","239","0",15,2.8181818,TRUE
"11892","lucene","2.4","org.apache.lucene.search.FieldCacheImpl$3",2,1,0,2,4,1,1,1,1,2,8,0,0,0,0.75,0,0,3,NA,"0",NA,"0",1,0.5,FALSE
"11893","lucene","2.4","org.apache.lucene.queryParser.QueryParser$LookaheadSuccess",2,3,0,2,3,1,1,1,0,2,8,0,0,1,0.75,0,0,3,NA,"0",NA,"0",0,0,FALSE
"11894","lucene","2.4","org.apache.lucene.search.PrefixGenerator",2,1,2,7,16,0,2,5,1,0,66,1,1,0,0.6666667,0,0,31.5,"0","0",NA,"0",1,0.5,FALSE
"11895","lucene","2.4","org.apache.lucene.index.DocumentsWriter$WaitQueue",8,1,0,4,20,0,1,4,2,0.59183675,376,0.14285715,2,0,0.47619048,0,0,45.125,NA,"0",NA,"0",5,2,FALSE
"11896","lucene","2.4","org.apache.lucene.search.function.ByteFieldSource$1",5,2,0,2,12,0,1,2,3,0.375,45,1,1,0.75,0.5,1,6,7.6,NA,"0",NA,"0",1,0.8,FALSE
"11897","lucene","2.4","org.apache.lucene.search.ComplexExplanation",6,2,0,11,18,9,10,1,5,0.2,65,1,0,0.73333335,0.33333334,1,1,9.666667,"3","3","9","1",3,1.1666666,TRUE
"11898","lucene","2.4","org.apache.lucene.search.FieldSortedHitQueue",20,2,0,22,62,172,2,21,5,0.8552632,438,0.75,3,0.4,0.24561404,1,4,20.7,"6","4","159","5",7,1.25,TRUE
"11899","lucene","2.4","org.apache.lucene.index.Payload",14,1,0,4,22,0,3,1,14,0.23076923,227,1,0,0,0.42857143,1,1,15,"3","2","338","2",6,1.5,FALSE
"11900","lucene","2.4","org.apache.lucene.index.TermVectorsTermsWriter$PerDoc",6,2,0,6,15,0,3,4,2,0.6,90,0.2,2,0.44444445,0.44444445,0,0,13.166667,NA,"0",NA,"0",2,1,FALSE
"11901","lucene","2.4","org.apache.lucene.search.FieldSortedHitQueue$4",4,1,0,3,6,0,1,2,3,0.33333334,46,1,0,0,0.5833333,0,0,10.25,NA,"0",NA,"0",3,1.25,FALSE
"11902","lucene","2.4","org.apache.lucene.util.cache.Cache$SynchronizedCache",7,2,0,1,12,0,1,1,4,0.16666667,99,0,1,0.54545456,0.61904764,1,1,12.857142,NA,"0",NA,"0",1,0.71428573,FALSE
"11903","lucene","2.4","org.apache.lucene.search.ExtendedFieldCacheImpl$5",2,2,0,6,22,0,1,6,0,0,116,1,1,0.6666667,0.625,1,1,56.5,NA,"0",NA,"0",1,0.5,FALSE
"11904","lucene","2.4","org.apache.lucene.index.TermInfosWriter",11,1,0,10,44,1,2,8,0,0.7190476,658,0.52380955,7,0,0.36666667,0,0,56.909092,"4","1","242","3",7,1.2727273,TRUE
"11905","lucene","2.4","org.apache.lucene.index.DocFieldProcessorPerThread",9,2,0,22,46,0,9,16,4,0.83653843,770,0,6,0.22222222,0.23214285,1,1,83.111115,"2","1","306","0",12,3.6666667,TRUE
"11906","lucene","2.4","org.apache.lucene.index.CompoundFileReader$1",0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,NA,"0",NA,"0",0,0,FALSE
"11907","lucene","2.4","org.apache.lucene.index.TermPositionVector",2,1,0,4,2,1,2,2,2,2,2,0,0,0,1,0,0,0,"0","0",NA,"0",1,1,FALSE
"11908","lucene","2.4","org.apache.lucene.search.MultiPhraseQuery",17,2,0,13,48,12,4,10,13,0.625,413,1,0,0.42857143,0.15882353,2,4,23.058823,"3","2","57","2",7,2.0588236,TRUE
"11909","lucene","2.4","org.apache.lucene.index.CompoundFileWriter",9,1,0,9,51,14,3,6,5,0.703125,414,0.75,2,0,0.30357143,0,0,44.11111,"4","2","29","3",4,1,FALSE
"11910","lucene","2.4","org.apache.lucene.index.DirectoryIndexReader$ReaderCommit",8,2,0,5,19,16,1,4,7,0.85714287,102,0.16666667,1,0.6111111,0.41666666,1,4,11,NA,"0",NA,"0",1,0.875,FALSE
"11911","lucene","2.4","org.apache.lucene.search.Sort",14,1,0,12,22,61,11,1,13,0.6923077,175,0,3,0,0.32051283,0,0,11.285714,"3","3","17","2",3,0.71428573,TRUE
"11912","lucene","2.4","org.apache.lucene.search.spans.SpanScorer",7,3,1,7,25,0,2,5,5,0.5208333,190,1,2,0.5714286,0.30952382,1,3,25,"1","1","6","1",1,0.85714287,TRUE
"11913","lucene","2.4","org.apache.lucene.index.MergePolicy",7,1,1,6,9,21,2,5,1,2,15,0,0,0,0.42857143,0,0,1.1428572,"8","1","309","0",1,0.85714287,TRUE
"11914","lucene","2.4","org.apache.lucene.document.Document$1",3,1,0,1,7,0,1,1,2,0.5,25,0.5,1,0,0.6666667,0,0,6.6666665,NA,"0",NA,"0",1,0.6666667,FALSE
"11915","lucene","2.4","org.apache.lucene.index.ReadOnlySegmentReader",4,4,0,3,7,6,2,2,1,2,26,0,0,0.98125,0.5,2,3,5.5,"1","1","34","0",3,1.25,FALSE
"11916","lucene","2.4","org.apache.lucene.search.TopDocCollector",6,2,1,7,13,0,2,5,4,0.6,117,1,2,0.25,0.5,0,0,18,"4","3","42","2",4,1.3333334,TRUE
"11917","lucene","2.4","org.apache.lucene.index.SegmentInfo",36,1,0,23,77,92,18,5,8,0.7768707,1568,0.52380955,1,0,0.18285714,1,1,41.97222,"7","1","243","3",4,1.3055556,TRUE
"11918","lucene","2.4","org.apache.lucene.queryParser.TokenMgrError",6,3,0,2,19,15,2,0,4,1.12,184,0,0,0.8125,0.5,1,1,28.833334,"3","2","33","3",14,2.8333333,TRUE
"11919","lucene","2.4","org.apache.lucene.index.SegmentMergeInfo",5,1,0,7,14,0,3,4,0,0.75,108,0.33333334,4,0,0.4,0,0,19.4,"0","0",NA,"0",5,1.6,TRUE
